Year,Field,Company,Hybrid,Yield,Moisture,Erect,DoP,DoH,RM,Stand,PPA,IncRate&Exp/Reg
1934,Alhambra,Champion,White Pearl,9.1,39.5,NaN,2-May,20-Nov,NaN,NaN,NaN,R
1934,Alhambra,Funk,Johnson County White,7.8,43.9,NaN,2-May,20-Nov,NaN,NaN,NaN,R
1934,Alhambra,Haller,Blackhawk,11.1,37.5,NaN,2-May,20-Nov,NaN,NaN,NaN,R
1934,Alhambra,Isenberg,St. Charles White,16.8,32.1,NaN,2-May,20-Nov,NaN,NaN,NaN,R
1934,Alhambra,J.C.W.,1,10.4,32.5,NaN,2-May,20-Nov,NaN,NaN,NaN,E
1934,Alhambra,Kansas,Harmon White,10.1,37.6,NaN,2-May,20-Nov,NaN,NaN,NaN,R
1934,Alhambra,Kansas,Midland Yellow,15.8,28.3,NaN,2-May,20-Nov,NaN,NaN,NaN,R
1934,Alhambra,Kansas,Pride of Salline,13.4,40.5,NaN,2-May,20-Nov,NaN,NaN,NaN,R
1934,Alhambra,Kiefer,Leaming,5.2,44.1,NaN,2-May,20-Nov,NaN,NaN,NaN,R
1934,Alhambra,Moore,Yellow Dent,19.7,25.4,NaN,2-May,20-Nov,NaN,NaN,NaN,R
1934,Alhambra,Station,Yellow Dent,18.5,32.9,NaN,2-May,20-Nov,NaN,NaN,NaN,R
1934,Alhambra,Waddell,Waddell Golden Beauty,15.7,33.3,NaN,2-May,20-Nov,NaN,NaN,NaN,R
1934,Alhambra,Waddell,Waddell Utility Yellow Dent,12.6,37.4,NaN,2-May,20-Nov,NaN,NaN,NaN,R
1934,Alhambra,Waddell,Waddell Utility Yellow Dent,17.8,34.6,NaN,2-May,20-Nov,NaN,NaN,NaN,R
1934,Alhambra,Wetzel,Mohawk,13.4,37.1,NaN,2-May,20-Nov,NaN,NaN,NaN,R
1934,DeKalb,Corn Belt,Eckhardt Western Plowman,21,50.7,NaN,16-May,30-Nov,NaN,NaN,NaN,R
1934,DeKalb,DeKalb,873,24.1,49.3,NaN,16-May,30-Nov,NaN,NaN,NaN,E
1934,DeKalb,DeKalb,3A,33.6,36.5,NaN,16-May,30-Nov,NaN,NaN,NaN,R
1934,DeKalb,DeKalb,Gunn Western Plowman,23,39,NaN,16-May,30-Nov,NaN,NaN,NaN,R
1934,DeKalb,Hi-Bred,20,32.2,51,NaN,16-May,30-Nov,NaN,NaN,NaN,E
1934,DeKalb,Hi-Bred,323,22.2,42.3,NaN,16-May,30-Nov,NaN,NaN,NaN,R
1934,DeKalb,Hi-Bred,351,29.3,40.4,NaN,16-May,30-Nov,NaN,NaN,NaN,R
1934,DeKalb,Ill.-Wis.,243,19.5,47.5,NaN,16-May,30-Nov,NaN,NaN,NaN,E
1934,DeKalb,Ill.-Wis.,244,22.9,50.4,NaN,16-May,30-Nov,NaN,NaN,NaN,E
1934,DeKalb,Ill.-Wis.,245,18.5,61,NaN,16-May,30-Nov,NaN,NaN,NaN,E
1934,DeKalb,Illinois,168,28.6,45.7,NaN,16-May,30-Nov,NaN,NaN,NaN,E
